"plate","object","plate_family","production_status","pack","next_action"
"P001","The Gradient as Constitutional Knowledge Ecology","Identity / System Map","Approved / Locked","Complete","None"
"P002","Admission Gate","Gate / Boundary Plate","Approved / Locked","Complete","None"
"P003","Source Review","Ledger / Review Plate","Approved / Locked","Complete","None"
"P004","Metabolization Boundary","Boundary / Conversion Plate","Approved / Locked","Complete","None"
"P005","Card","Object Anatomy Plate","Approved / Locked","Complete","None"
"P006","Claim","Reasoning Atom Plate","Approved / Locked","Complete","None"
"P007","Relationship","Link / Connector Plate","Approved / Locked","Complete","None"
"P008","Evidence","Support / Grounding Plate","Approved / Locked","Complete","None"
"P009","Source","Origin / Provenance Plate","Approved / Locked","Complete","None"
"P010","History","Trace / Revision Plate","Approved / Locked","Complete","None"
"P011","Decision","Governance Object Plate","Approved / Locked","Pack A","None"
"P012","Institutional Decision Record","Governance Ledger Plate","Image Gate Candidate","Pack A","Open image gate when explicitly approved"
"P013","Validation Gate","Gate / Test Plate","Text Packet Approved / Locked","Pack A","Await named image gate"
"P014","Promotion Gate","Gate / Threshold Plate","Text Packet Approved / Locked","Pack A","Await named image gate"
"P015","Canon Boundary","Boundary Plate","Text Packet Approved / Locked","Pack A","Await named image gate"
"P016","Archive","Memory Container Plate","Text Packet Ready for Review","Pack B","Human text review before any named image gate"
"P017","Book of Becoming","Narrative Memory Plate","Text Packet Ready for Review","Pack B","Human text review before any named image gate"
"P018","Commons","Shared Knowledge Field Plate","Text Packet Ready for Review","Pack B","Human text review before any named image gate"
"P019","Reclassification","State Change Plate","Text Packet Ready for Review","Pack B","Human text review before any named image gate"
"P020","Distillation","Reduction / Extraction Plate","Text Packet Ready for Review","Pack B","Human text review before any named image gate"
"P021","Engine","Transformation Object Plate","Text Packet Ready for Review","Pack C","Human text review before any named image gate"
"P022","Practice Framework","Practice Object Plate","Text Packet Ready for Review","Pack C","Human text review before any named image gate"
"P023","Engine Registry","Registry Plate","Text Packet Ready for Review","Pack C","Human text review before any named image gate"
"P024","Practice Framework Registry","Registry Plate","Text Packet Ready for Review","Pack C","Human text review before any named image gate"
"P025","Capability","Capability Object Plate","Text Packet Ready for Review","Pack D","Human text review before any named image gate"
"P026","Capability Map","Matrix / Cartography Plate","Text Packet Ready for Review","Pack D","Human text review before any named image gate"
"P027","Preserved Human Capability Matrix","Status-Aware Matrix Plate","Text Packet Ready for Review","Pack D","Human text review before any named image gate"
"P028","Capability Gap","Absence / Gap Plate","Text Packet Ready for Review","Pack D","Human text review before any named image gate"
"P029","Trust State","State Plate","Text Packet Ready for Review","Pack E","Human text review before any named image gate"
"P030","Status State","State Plate","Text Packet Ready for Review","Pack E","Human text review before any named image gate"
"P031","Uncertainty / Absence","Negative Knowledge Plate","Text Packet Ready for Review","Pack E","Human text review before any named image gate"
"P032","Conflict / Contradiction","Tension Plate","Text Packet Ready for Review","Pack E","Human text review before any named image gate"
"P033","Failure Mode","Failure Archive Plate","Text Packet Ready for Review","Pack E","Human text review before any named image gate"
"P034","Steward Review","Review Plate","Text Packet Ready for Review","Pack E","Human text review before any named image gate"
"P035","Session Closeout","Ritual / Procedure Plate","Text Packet Ready for Review","Pack F","Human text review before any named image gate"
"P036","Reentry Protocol","Ritual / Procedure Plate","Text Packet Ready for Review","Pack F","Human text review before any named image gate"
"P037","Confirmation Receipt","Receipt Plate","Text Packet Ready for Review","Pack F","Human text review before any named image gate"
"P038","Product / Platform Boundary","Servant Layer Plate","Text Packet Ready for Review","Pack F","Human text review before any named image gate"
"P039","Automation Boundary","Constraint Plate","Text Packet Ready for Review","Pack F","Human text review before any named image gate"
"P040","Constitutional Field Atlas Index","Synthesis / Index Plate","Object Spec + Object QC Ready / Image Gate Blocked","Pack F","Review object specification and keep image gate blocked until P001-P039 approval or waiver"
